Sector,Parameter,Direction,Baseline_Value,Perturbed_Value,Requested_Change_Percent,Actual_Change_Percent,Parameter_Changed,Clipped_Or_Rounded,N_Replications,Baseline_Typology,Typology,P_RCPI_Positive,RCPI_PI_2.5,RCPI_PI_97.5,Baseline_Mean_RCPI,Mean_RCPI,Delta_RCPI,Delta_RCPI_MCSE,Delta_RCPI_Valid_N,Baseline_Mean_MRR,Mean_MRR,Delta_MRR,Delta_MRR_MCSE,Delta_MRR_Valid_N,Baseline_Mean_VMD,Mean_VMD,Delta_VMD,Delta_VMD_MCSE,Delta_VMD_Valid_N,Baseline_Mean_CO2_Avoided,Mean_CO2_Avoided,Delta_CO2_Avoided,Delta_CO2_Avoided_MCSE,Delta_CO2_Avoided_Valid_N
Telecommunications,ef_reverse_per_return,minus_20_percent,0.25,0.2,-19.999999999999996,-19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.791655452299208,-7.018528486974016,-8.681994683027533,-8.681994683027533,0.0,0.0,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1657.4043728417757,42.74200499999999,0.005529859033609529,10000
Telecommunications,ef_reverse_per_return,plus_20_percent,0.25,0.3,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.791655452299208,-7.018528486974016,-8.681994683027533,-8.681994683027533,0.0,0.0,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1742.8883828417756,-42.74200499999999,0.0055298590336095325,10000
Computer hardware refurbishment,rho_high,minus_20_percent,0.9,0.7200000000000001,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.08315512537449204,0.19716820574791422,0.1745979999551003,0.14290578396127196,-0.031692215993828314,0.00013199539627892286,10000,0.7257611219354171,0.7352877803503854,0.009526658414968362,0.00017640760919546036,10000,0.5195706236326533,0.4234847266802228,-0.09608589695243044,0.0001508511041253284,10000,1173.8103407989788,969.2186820221651,-204.5916587768138,0.6244603901994589,10000
Computer hardware refurbishment,rho_high,plus_20_percent,0.9,1.0,19.999999999999996,11.111111111111116,True,True,10000,Sunny,Sunny,1.0,0.09475378731815978,0.2628988176316358,0.1745979999551003,0.17940013118006304,0.004802131224962774,0.0001323265528269873,10000,0.7257611219354171,0.7119731451318692,-0.013787976803547963,0.0001823525919181929,10000,0.5195706236326533,0.5585003431678772,0.03892971953522401,0.0001628709882485999,10000,1173.8103407989788,1225.7461258049614,51.935785005982595,0.609357467967357,10000
Computer hardware refurbishment,recovery_yield_mean,minus_20_percent,0.7368421052631579,0.5894736842105263,-19.999999999999996,-20.000000000000007,True,False,10000,Sunny,Cloudy,0.9499,-0.012377610030250948,0.14302097328933022,0.1745979999551003,0.0660262254176419,-0.1085717745374584,7.151236933935962e-05,10000,0.7257611219354171,0.5803788095388638,-0.14538231239655328,8.397893869996956e-05,10000,0.5195706236326533,0.4167285280689161,-0.10284209556373712,7.303118246404662e-05,10000,1173.8103407989788,552.0514771774272,-621.7588636215518,0.8802504792284173,10000
Computer hardware refurbishment,recovery_yield_mean,plus_20_percent,0.7368421052631579,0.8842105263157896,19.999999999999996,20.000000000000018,True,False,10000,Sunny,Sunny,1.0,0.21968567788271726,0.33850230518487656,0.1745979999551003,0.284248929767887,0.10965092981278672,0.0001246051484800067,10000,0.7257611219354171,0.8712857461768192,0.14552462424140217,0.00015327744120228006,10000,0.5195706236326533,0.6207537233253464,0.10118309969269317,0.00012205256348169233,10000,1173.8103407989788,1785.348053963192,611.5377131642127,1.041651356982867,10000
Computer hardware refurbishment,sort_test_cost,minus_20_percent,9.0,7.2,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.11036454844664227,0.2559443279321984,0.1745979999551003,0.18558051801722922,0.010982518062128932,1.2873934280128235e-06,10000,0.7257611219354171,0.7257611219354171,0.0,0.0,10000,0.5195706236326533,0.5195706236326533,0.0,0.0,10000,1173.8103407989788,1173.8103407989788,0.0,0.0,10000
Computer hardware refurbishment,sort_test_cost,plus_20_percent,9.0,10.799999999999999,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.08873548213330769,0.23375066523051077,0.1745979999551003,0.16364177411965652,-0.010956225835443761,1.2721706244537941e-06,10000,0.7257611219354171,0.7257611219354171,0.0,0.0,10000,0.5195706236326533,0.5195706236326533,0.0,0.0,10000,1173.8103407989788,1173.8103407989788,0.0,0.0,10000
Computer hardware refurbishment,transport_cost,minus_20_percent,6.0,4.800000000000001,-19.999999999999996,-19.999999999999986,True,False,10000,Sunny,Sunny,1.0,0.11625446050432411,0.2609311546725968,0.1745979999551003,0.19107212130759477,0.016474121352494476,3.3653380477232952e-06,10000,0.7257611219354171,0.7257611219354171,0.0,0.0,10000,0.5195706236326533,0.5195706236326533,0.0,0.0,10000,1173.8103407989788,1173.8103407989788,0.0,0.0,10000
Computer hardware refurbishment,transport_cost,plus_20_percent,6.0,7.199999999999999,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,0.9999,0.08287946928198894,0.2287517104190491,0.1745979999551003,0.15818336462347807,-0.016414635331622202,3.3355628511370117e-06,10000,0.7257611219354171,0.7257611219354171,0.0,0.0,10000,0.5195706236326533,0.5195706236326533,0.0,0.0,10000,1173.8103407989788,1173.8103407989788,0.0,0.0,10000
